1995,NFL,"Super Bowl XXX: Dallas Cowboys (NFC,12-4) defeated Pittsburgh Steelers (AFC,11-5), Score: 27-17"
1994,NFL,"Super Bowl XXIX: San Francisco 49ers (NFC,13-3) defeated San Diego Chargers (AFC,11-5), Score: 49-26"
1993,NFL,"Super Bowl XXVIII: Dallas Cowboys (NFC,12-4) defeated Buffalo Bills (AFC,12-4), Score: 30-13"
1992,NFL,"Super Bowl XXVII: Dallas Cowboys (NFC,13-3) defeated Buffalo Bills (AFC,11-5), Score: 52-17"
1991,NFL,"Super Bowl XXVI: Washington Redskins (NFC,14-2) defeated Buffalo Bills (AFC,13-3), Score: 37-24"
1990,NFL,"Super Bowl XXV: New York Giants (NFC,13-3) defeated Buffalo Bills (AFC,13-3), Score: 20-19"
1989,NFL,"Super Bowl XXIV: San Francisco 49ers (NFC,14-2) defeated Denver Broncos (AFC,11-5), Score: 55-10"
1988,NFL,"Super Bowl XXIII: San Francisco 49ers (NFC,10-6) defeated Cincinnati Bengals (AFC,12-4), Score: 20-16"
1987,NFL,"Super Bowl XXII: Washington Redskins (NFC,11-4) defeated Denver Broncos (AFC,10-4-1), Score: 42-10"
1986,NFL,"Super Bowl XXI: New York Giants (NFC,14-2) defeated Denver Broncos (AFC,11-5), Score: 39-20"
1985,NFL,"Super Bowl XX: Chicago Bears (NFC,15-1) defeated New England Patriots (AFC,11-5), Score: 46-10"
1984,NFL,"Super Bowl XIX: San Francisco 49ers (NFC,15-1) defeated Miami Dolphins (AFC,14-2), Score: 38-16"
1983,NFL,"Super Bowl XVIII: Los Angeles Raiders (AFC,12-4) defeated Washington Redskins (NFC,14-2), Score: 38-9"
1982,NFL,"Super Bowl XVII: Washington Redskins (NFC,8-1) defeated Miami Dolphins (AFC,7-2), Score: 27-17"
1981,NFL,"Super Bowl XVI: San Francisco 49ers (NFC,13-3) defeated Cincinnati Bengals (AFC,12-4), Score: 26-21"
1980,NFL,"Super Bowl XV: Oakland Raiders (AFC,11-5) defeated Philadelphia Eagles (NFC,12-4), Score: 27-10"
1979,NFL,"Super Bowl XIV: Pittsburgh Steelers (AFC,12-4) defeated Los Angeles Rams (NFC,9-7), Score: 31-19"
1978,NFL,"Super Bowl XIII: Pittsburgh Steelers (AFC,14-2) defeated Dallas Cowboys (NFC,12-4), Score: 35-31"
1977,NFL,"Super Bowl XII: Dallas Cowboys (NFC,12-2) defeated Denver Broncos (AFC,12-2), Score: 27-10"
1976,NFL,"Super Bowl XI: Oakland Raiders (AFC,13-1) defeated Minnesota Vikings (NFC,11-2-1), Score: 32-14"
1975,NFL,"Super Bowl X: Pittsburgh Steelers (AFC,12-2) defeated Dallas Cowboys (NFC,10-4), Score: 21-17"
Year,Lg,
1974,NFL,"Super Bowl IX: Pittsburgh Steelers (AFC,10-3-1) defeated Minnesota Vikings (NFC,10-4), Score: 16-6"
1973,NFL,"Super Bowl VIII: Miami Dolphins (AFC,12-2) defeated Minnesota Vikings (NFC,12-2), Score: 24-7"
1972,NFL,"Super Bowl VII: Miami Dolphins (AFC,14-0) defeated Washington Redskins (NFC,11-3), Score: 14-7"
1971,NFL,"Super Bowl VI: Dallas Cowboys (NFC,11-3) defeated Miami Dolphins (AFC,10-3-1), Score: 24-3"
1970,NFL,"Super Bowl V: Baltimore Colts (AFC,11-2-1) defeated Dallas Cowboys (NFC,10-4), Score: 16-13"
1969,"AFL, NFL","Super Bowl IV: Kansas City Chiefs (AFL,11-3) defeated Minnesota Vikings (NFL,12-2), Score: 23-7"
1968,"AFL, NFL","Super Bowl III: New York Jets (AFL,11-3) defeated Baltimore Colts (NFL,13-1), Score: 16-7"
1967,"AFL, NFL","Super Bowl II: Green Bay Packers (NFL,9-4-1) defeated Oakland Raiders (AFL,13-1), Score: 33-14"
1966,"AFL, NFL","Super Bowl I: Green Bay Packers (NFL,12-2) defeated Kansas City Chiefs (AFL,11-2-1), Score: 35-10"
1965,"AFL, NFL","Green Bay Packers (NFL,10-3-1), Buffalo Bills (AFL,10-3-1)"
1964,"AFL, NFL","Cleveland Browns (NFL,10-3-1), Buffalo Bills (AFL,12-2)"
1963,"AFL, NFL","Chicago Bears (NFL,11-1-2), San Diego Chargers (AFL,11-3)"
1962,"AFL, NFL","Green Bay Packers (NFL,13-1), Dallas Texans (AFL,11-3)"
1961,"AFL, NFL","Green Bay Packers (NFL,11-3), Houston Oilers (AFL,10-3-1)"
1960,"AFL, NFL","Philadelphia Eagles (NFL,10-2), Houston Oilers (AFL,10-4)"
1959,NFL,"Baltimore Colts (NFL,9-3)"
1958,NFL,"Baltimore Colts (NFL,9-3)"
1957,NFL,"Detroit Lions (NFL,8-4)"
1956,NFL,"New York Giants (NFL,8-3-1)"
1955,NFL,"Cleveland Browns (NFL,9-2-1)"
1954,NFL,"Cleveland Browns (NFL,9-3)"
1953,NFL,"Detroit Lions (NFL,10-2)"
1952,NFL,"Detroit Lions (NFL,9-3)"
1951,NFL,"Los Angeles Rams (NFL,8-4)"
1950,NFL,"Cleveland Browns (NFL,10-2)"
Year,Lg,
1949,"AAFC, NFL","Philadelphia Eagles (NFL,11-1), Cleveland Browns (AAFC,9-1-2)"
1948,"AAFC, NFL","Philadelphia Eagles (NFL,9-2-1), Cleveland Browns (AAFC,14-0)"
1947,"AAFC, NFL","Chicago Cardinals (NFL,9-3), Cleveland Browns (AAFC,12-1-1)"
1946,"AAFC, NFL","Chicago Bears (NFL,8-2-1), Cleveland Browns (AAFC,12-2)"
1945,NFL,"Cleveland Rams (NFL,9-1)"
1944,NFL,"Green Bay Packers (NFL,8-2)"
1943,NFL,"Chicago Bears (NFL,8-1-1)"
1942,NFL,"Washington Redskins (NFL,10-1)"
1941,NFL,"Chicago Bears (NFL,10-1)"
1940,NFL,"Chicago Bears (NFL,8-3)"
1939,NFL,"Green Bay Packers (NFL,9-2)"
1938,NFL,"New York Giants (NFL,8-2-1)"
1937,NFL,"Washington Redskins (NFL,8-3)"
1936,NFL,"Green Bay Packers (NFL,10-1-1)"
1935,NFL,"Detroit Lions (NFL,7-3-2)"
1934,NFL,"New York Giants (NFL,8-5)"
1933,NFL,"Chicago Bears (NFL,10-2-1)"
1932,NFL,"Chicago Bears (NFL,7-1-6)"
1931,NFL,"Green Bay Packers (NFL,12-2)"
1930,NFL,"Green Bay Packers (NFL,10-3-1)"
1929,NFL,"Green Bay Packers (NFL,12-0-1)"
1928,NFL,"Providence Steam Roller (NFL,8-1-2)"
1927,NFL,"New York Giants (NFL,11-1-1)"
1926,NFL,"Frankford Yellow Jackets (NFL,14-1-2)"
1925,NFL,"Chicago Cardinals (NFL,11-2-1)"
1924,NFL,"Cleveland Bulldogs (NFL,7-1-1)"
1923,NFL,"Canton Bulldogs (NFL,11-0-1)"
1922,NFL,"Canton Bulldogs (NFL,10-0-2)"
1921,APFA,"Chicago Staleys (APFA,9-1-1)"
1920,APFA,"Akron Pros (APFA,8-0-3)"
