Year,Tm,Lg,Job Title,W,L,T,W-L%,W plyf,L plyf,Playoff Result
1993,Houston Oilers,NFL,Founder/Owner/Chairman/President/CEO,12,4,0,.750,0,1,Lost Div
1994,Houston Oilers,NFL,Founder/Owner/Chairman/President/CEO,2,14,0,.125,0,0,
1995,Houston Oilers,NFL,Founder/Owner/Chairman/President/CEO,7,9,0,.438,0,0,
1996,Houston Oilers,NFL,Founder/Owner/Chairman/President/CEO,8,8,0,.500,0,0,
1997,Tennessee Oilers,NFL,Founder/Owner/Chairman/President/CEO,8,8,0,.500,0,0,
1998,Tennessee Oilers,NFL,Founder/Owner/Chairman/President/CEO,8,8,0,.500,0,0,
1999,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,13,3,0,.813,3,1,Lost SB
2000,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,13,3,0,.813,0,1,Lost Div
2001,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,7,9,0,.438,0,0,
2002,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,11,5,0,.688,1,1,Lost Conf
2003,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,12,4,0,.750,1,1,Lost Div
2004,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,5,11,0,.313,0,0,
2005,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,4,12,0,.250,0,0,
2006,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,8,8,0,.500,0,0,
2007,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,10,6,0,.625,0,1,Lost WC
2008,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,13,3,0,.813,0,1,Lost Div
2009,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,8,8,0,.500,0,0,
2010,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,6,10,0,.375,0,0,
2011,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,9,7,0,.563,0,0,
2012,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,6,10,0,.375,0,0,
2013,Tennessee Titans,NFL,Founder/Owner/Chairman/President/CEO,7,9,0,.438,0,0,
,Total,,54 Years,399,415,6,,14,19,
,Houston Oilers,,1960-2013,399,415,6,,14,19,
