Player,Pos,Age,Date of Death,BirthDate,Yrs,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Solo,Int,Sk
Korey Cunningham,T,28,4/25/2024,5/17/1995,5,2018,2022,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Roger Davis,G-T,85,3/6/2024,6/23/1938,7,1960,1966,0,0,3,25,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.5
Vontae Davis,DB,35,4/1/2024,5/27/1988,10,2009,2018,0,2,8,45,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,22,2.0
Char-ron Dorsey,T,46,3/4/2024,11/5/1977,2,2001,2002,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Brad Dusek,LB,73,6/10/2024,12/13/1950,8,1974,1981,0,0,7,48,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,14.0
Earl Edwards,DT-DE,78,5/2/2024,3/17/1946,11,1969,1979,0,0,8,46,150,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,51.0
Player,Pos,Age,Date of Death,BirthDate,Yrs,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Solo,Int,Sk
Charlie Evans,RB,76,11/4/2024,1/10/1948,4,1971,1974,0,0,1,11,25,0,0,0,0,0,0,0,0,205,644,12,24,54,470,1,44,,,
Pat Fischer,DB,84,10/8/2024,1/2/1940,17,1961,1977,1,3,14,85,213,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,22,,56,
Jim Furey,LB,91,1/28/2024,9/22/1932,1,1961,1961,0,0,0,3,9,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Roman Gabriel,QB,83,4/20/2024,8/5/1940,16,1962,1977,1,4,11,98,183,2366,4498,29444,201,93,149,360,2711,358,1304,30,39,1,-5,0,0,,,
Bob Gaiters,HB,85,1/5/2024,2/26/1938,3,1961,1963,0,0,1,8,31,3,5,42,2,27,0,,,168,673,6,53,17,175,2,74,,,
Ben Gay,RB,44,7/29/2024,2/28/1980,1,2001,2001,0,0,0,1,16,0,0,0,0,0,0,0,0,51,172,1,40,4,11,0,7,3,,
Bob Grant,LLB,77,5/19/2024,10/14/1946,4,1968,1971,0,0,2,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2.0
Riley Gunnels,DT-DE,87,12/9/2024,9/24/1937,7,1960,1966,0,0,3,26,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,18.5
Kevin Hardy,DT,78,5/6/2024,7/28/1945,4,1968,1972,0,0,1,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0
Wendell Harris,DB-K,83,1/7/2024,10/2/1940,6,1962,1967,0,0,4,24,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,1.5
Tommy Hart,DE-LB,80,11/20/2024,11/7/1944,13,1968,1980,0,1,10,68,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,83.0
Alvin Haymond,DB,81,3/13/2024,8/31/1942,10,1964,1973,0,0,2,16,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,3.0
Abner Haynes,HB,86,7/18/2024,9/19/1937,8,1960,1967,2,3,6,70,112,1,7,24,0,24,2,2,19,1036,4630,46,80,287,3535,20,78,,,
Michael Hicks,RB,51,2/2/2024,2/1/1973,2,1996,1997,0,0,0,1,7,0,0,0,0,0,0,0,0,31,106,0,23,1,-1,0,0,,,
Tony Hunter,TE,64,6/11/2024,5/22/1960,4,1983,1986,0,0,2,11,47,0,0,0,0,0,0,0,0,4,28,0,24,134,1501,9,47,,,
John Isenbarger,RB-WR,77,3/7/2024,1/5/1947,4,1970,1973,0,0,0,5,55,1,3,48,0,48,0,0,0,27,80,0,27,21,291,2,61,,,
Khyree Jackson,,24,7/6/2024,8/11/1999,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alonzo Johnson,LB,60,2/1/2024,4/4/1963,2,1986,1987,0,0,1,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1.0
Charley Johnson,QB,85,9/3/2024,11/22/1938,15,1961,1975,0,1,10,79,165,1737,3392,24410,170,90,181,260,2186,196,539,10,19,0,0,0,0,,,
Jimmy Johnson,DB-HB,86,5/8/2024,3/31/1938,16,1961,1976,3,5,16,103,213,0,0,0,0,0,0,0,0,0,0,0,0,40,690,4,80,,47,
Dub Jones,HB-DB-WB-TB,99,11/2/2024,12/29/1924,10,1946,1955,1,2,6,0,114,5,20,40,1,3,3,5,65,540,2210,21,61,171,2874,20,81,,2,
Jacoby Jones,WR,40,7/14/2024,7/11/1984,9,2007,2015,1,1,2,30,128,0,0,0,0,0,0,0,0,19,62,0,17,203,2733,14,80,1,,
Jim Kearney,DB,81,8/6/2024,1/21/1943,12,1965,1976,0,0,8,50,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,2.0
Ed Khayat,DT-DE-T/Coach,89,12/6/2024,9/14/1935,10,1957,1966,0,0,2,26,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3.5
Monte Kiffin,Coach,84,7/11/2024,2/29/1940,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Player,Pos,Age,Date of Death,BirthDate,Yrs,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Solo,Int,Sk
Claude King,HB,85,8/16/2024,12/3/1938,2,1961,1962,0,0,0,2,25,0,0,0,0,0,0,,,33,194,3,71,8,125,1,44,,,
Mike Kolen,LB,76,4/3/2024,1/31/1948,7,1970,1977,0,0,6,40,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2.0
Kent Kramer,TE,79,2/21/2024,7/21/1944,8,1966,1974,0,0,2,6,97,0,0,0,0,0,0,0,0,0,0,0,0,45,576,8,29,,,
Alex Kroll,T-C,87,12/17/2024,11/23/1937,1,1962,1962,0,0,1,5,14,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Fulton Kuykendall,LB,70,2/15/2024,6/10/1953,11,1975,1985,0,0,7,40,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,10.0
Bob Landsee,C-G,59,1/20/2024,3/21/1964,2,1986,1987,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Greg Landry,QB/Coach,77,10/4/2024,12/18/1946,15,1968,1984,0,1,6,80,146,1276,2300,16052,98,84,103,316,2503,430,2655,21,76,0,0,0,0,,,
Greg Larson,C-G-T,84,6/20/2024,11/15/1939,13,1961,1973,0,1,12,66,179,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,0,1,,,
Darren Lewis,RB,55,6/20/2024,11/7/1968,3,1991,1993,0,0,0,5,33,0,0,0,0,0,0,0,0,112,431,4,33,22,201,0,30,,,
Kevin Long,RB,69,9/10/2024,1/20/1955,5,1977,1981,0,0,1,22,73,0,0,0,0,0,0,0,0,574,2190,25,27,74,539,3,27,,,
Ernie McMillan,T,86,11/25/2024,2/21/1938,15,1961,1975,0,4,14,71,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0
Mike Mercer,K,88,3/24/2024,11/21/1935,10,1961,1970,0,1,0,26,119,1,1,14,0,14,0,1,12,3,-38,0,0,0,0,0,0,,,
Bill Miller,SE-WR,84,12/15/2024,4/17/1940,6,1962,1968,0,0,3,21,66,0,0,0,0,0,0,,,0,0,0,0,141,1879,10,42,,,
Mercury Morris,RB,77,9/21/2024,1/5/1947,8,1969,1976,0,3,3,50,99,0,0,0,0,0,0,0,0,804,4133,31,70,54,543,1,50,,,
Jim Ninowski,QB,88,7/23/2024,3/26/1936,12,1958,1969,0,0,3,27,89,513,1048,7133,34,84,67,81,874,92,367,10,40,0,0,0,0,,,
Frank Nunley,LB,78,6/26/2024,10/1/1945,10,1967,1976,0,0,7,47,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9.0
Steve Okoniewski,DT-DE,74,2/25/2024,8/22/1949,6,1972,1977,0,0,1,14,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0
Jim Otto,C,86,5/19/2024,1/5/1938,15,1960,1974,10,12,15,112,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Shurron Pierson,DE-LB,41,2/7/2024,5/31/1982,2,2003,2004,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,
Dave Pivec,TE,80,5/11/2024,9/25/1943,4,1966,1969,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,14,146,1,18,,,
Ronald Powell,OLB,32,1/15/2024,5/14/1991,1,2014,2014,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Homer Rice,Coach,97,6/10/2024,2/20/1927,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Golden Richards,WR,73,2/23/2024,12/31/1950,7,1973,1979,0,0,5,23,86,0,0,0,0,0,0,0,0,5,15,0,11,122,2136,17,62,,,
Victor Riley,T-G,49,4/8/2024,11/4/1974,8,1998,2005,0,0,5,40,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
John Robinson,Coach,89,11/11/2024,7/25/1935,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Player,Pos,Age,Date of Death,BirthDate,Yrs,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Solo,Int,Sk
Craig Roh,DE,33,2/26/2024,1/25/1991,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Ernie Ruple,DE,78,6/9/2024,10/27/1945,1,1968,1968,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Andy Russell,LB,82,3/1/2024,10/29/1941,12,1963,1976,0,7,12,84,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,38.0
Frank Ryan,QB,87,1/1/2024,7/12/1936,13,1958,1970,0,3,5,77,126,1090,2133,16042,149,96,111,196,1825,310,1358,6,39,0,31,1,32,,,
Abdul Salaam,DT-NT-DE,71,10/8/2024,2/12/1953,8,1976,1983,0,0,6,36,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0
Leo Sanford,LB,94,3/22/2024,10/4/1929,8,1951,1958,0,2,7,0,93,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,17,
Joe Schmidt,LB/Coach,92,9/11/2024,1/19/1932,13,1953,1965,8,10,13,55,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,15.0
Tom Seabron,LB,67,12/26/2024,5/24/1957,2,1979,1980,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0
Billy Shaw,G,85,10/4/2024,12/15/1938,9,1961,1969,5,8,9,60,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rod Sherman,WR-FL,79,2/6/2024,12/25/1944,7,1967,1973,0,0,3,18,83,0,0,0,0,0,0,0,0,4,20,1,13,105,1576,5,55,,,
Eric Sievers,TE,66,4/10/2024,11/9/1957,10,1981,1990,0,0,4,21,122,0,0,0,0,0,0,0,0,1,-7,0,0,214,2485,16,46,,,
Jerry Simmons,WR-SE,81,7/25/2024,11/14/1942,9,1965,1974,0,0,5,19,106,0,0,0,0,0,0,0,0,3,-3,0,7,138,2105,9,61,,,
O.J. Simpson,RB,76,4/10/2024,7/9/1947,11,1969,1979,5,6,11,98,135,6,16,110,1,34,0,1,11,2404,11236,61,94,203,2142,14,64,,,
Joe Sims,T,55,4/26/2024,3/1/1969,5,1991,1995,0,0,1,14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Steve Sloan,QB,79,4/14/2024,8/19/1944,2,1966,1967,0,0,0,0,8,10,31,134,0,32,4,13,110,1,2,0,2,0,0,0,0,,,
Don Smerek,DT-DE,66,3/16/2024,12/20/1957,7,1981,1987,0,0,0,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14.5
A.J. Smith,,75,5/12/2024,2/28/1949,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Doug Smith,NT-DT,64,7/25/2024,6/13/1960,8,1985,1992,0,0,5,31,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,14.0
Norm Snead,QB,84,1/14/2024,7/31/1939,16,1961,1976,0,4,12,87,178,2276,4353,30797,196,94,257,350,2735,212,521,23,25,0,0,0,0,,,
Jack Squirek,RILB,64,1/5/2024,2/16/1959,5,1982,1986,0,0,0,8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3.0
Mike Stensrud,NT-DE-DT,68,8/23/2024,2/19/1956,11,1979,1989,0,0,4,32,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,29.5
Dave Szymakowski,WR,78,11/3/2024,3/15/1946,1,1968,1968,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Steve Tensi,QB,81,3/15/2024,12/8/1942,6,1965,1970,0,0,3,20,56,369,862,5558,43,79,46,82,672,47,82,0,17,0,0,0,0,,,
Aaron Thomas,TE-SE,86,4/26/2024,11/7/1937,10,1961,1970,0,1,4,46,133,0,0,0,0,0,0,0,0,4,-10,0,23,262,4554,37,71,,,
Donnell Thompson,DE,65,9/17/2024,10/27/1958,11,1981,1991,0,0,11,50,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,41.0
Player,Pos,Age,Date of Death,BirthDate,Yrs,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Solo,Int,Sk
Duane Thomas,RB,77,8/4/2024,6/21/1947,4,1970,1974,0,0,1,22,49,0,1,0,0,0,0,0,0,453,2038,21,66,38,297,3,34,,,
Ralph Thomas,E-DE,96,7/22/2024,12/6/1927,3,1952,1956,0,0,2,0,35,0,0,0,0,0,0,,,0,0,0,0,9,105,2,25,,,
Bill Tobin,HB,83,4/19/2024,2/16/1941,1,1963,1963,0,0,1,3,10,0,0,0,0,0,0,,,75,271,4,32,13,173,1,33,,,
Marvin Upshaw,DE-DT,77,6/4/2024,11/22/1946,9,1968,1976,0,0,5,37,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,30.5
Arunas Vasys,LB,80,7/5/2024,8/18/1943,3,1966,1968,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.5
Larry Walton,WR-FL,77,7/4/2024,2/8/1947,8,1969,1978,0,0,7,40,107,2,3,72,1,43,0,1,15,13,127,1,57,173,2689,27,60,,,
Lonnie Warwick,LB,82,10/28/2024,2/26/1942,10,1965,1974,0,0,5,58,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8.5
Tavares Washington,G-T,40,1/2/2024,4/20/1983,1,2008,2008,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Carl Weathers,LB,76,2/1/2024,1/14/1948,2,1970,1971,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Arthur Whittington,RB,68,4/22/2024,9/4/1955,5,1978,1982,0,0,2,19,58,0,0,0,0,0,0,0,0,448,1592,13,42,84,764,2,55,,,
Jimmy Wilkerson,DE,43,12/13/2024,1/4/1981,8,2003,2010,0,0,1,17,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,,14.0
Dave Williams,WR-SE,78,6/19/2024,8/10/1945,7,1967,1973,0,0,4,30,86,0,0,0,0,0,0,0,0,6,69,0,43,183,2768,25,71,,,
Wayne Wilson,RB,66,3/10/2024,9/4/1957,9,1979,1987,0,0,3,33,111,0,0,0,0,0,0,0,0,684,2531,18,41,181,1533,14,55,,,
